sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
1135,0.00581837,0.18360709,0.00843626,1.0774,1,1792.0196,22.09,12012.0
212,0.01422834,0.23270642,0.0063738,2.0789,0,7808.4474,15.06,40924.0
2594,0.01926263,0.34290543,0.00562251,1.9099,0,6742.8989,11.04,36996.0
321,0.00700407,0.28610164,0.00965614,0.8324,1,966.0,0.0,6653.0
2091,0.00841363,0.4592335,0.00968578,0.6229,0,969.0,0.0,3755.0
2808,0.00410202,0.25762342,0.0022566,0.5414,0,226.0,0.0,500.0
424,0.00707719,0.1675315,0.00819574,1.4363,0,3363.2624,26.1,22531.0
663,0.02031286,0.43763874,0.00157717,1.5781,0,4331.1764,12.05,27483.0
1101,0.00262183,0.09259066,0.00841621,0.9628,1,1003.8868,81.33,10594.0
1980,0.01371804,0.49668439,0.00848856,0.9391,1,849.0,0.0,8483.0
3429,0.00072916,0.10099201,0.0072302,0.2455,0,723.0,0.0,871.0
1808,0.00328319,0.14464867,0.00444138,0.7717,0,444.0,0.0,2662.0
1575,0.00516521,0.24444035,0.00485744,0.7184,0,486.0,0.0,3501.0
2022,0.00222483,0.46320471,0.00183253,0.1633,0,183.0,0.0,219.0
2865,0.01063356,0.25508566,0.00256794,1.4173,0,3242.7969,18.07,21381.0
3602,0.02286113,0.40383146,0.00332897,1.9248,0,6900.4218,10.04,37229.0
557,0.00064463,0.29753495,0.00655992,0.0737,0,656.0,0.0,686.0
2345,0.00120017,0.32909582,0.00779286,0.124,0,779.0,0.0,840.0
2595,0.01553075,0.45330717,0.00204608,1.1649,1,1612.4634,15.06,12765.0
3872,0.00910721,0.39782305,0.00958757,0.7783,0,959.0,0.0,5271.0
3686,0.00592728,0.46878751,0.00109187,0.4299,0,109.0,0.0,157.0
1215,0.00207286,0.07517881,0.00278221,0.9375,1,634.9898,102.41,6817.0
2391,0.00607697,0.41529049,0.0016532,0.4975,0,165.0,0.0,461.0
2851,0.01696881,0.44524936,0.00436911,1.2958,0,2227.5707,13.05,18155.0
2439,0.01725341,0.47888964,0.00808243,1.225,0,2194.1335,10.04,16566.0
2794,0.00635567,0.45909218,0.00528241,0.4707,0,528.0,0.0,1274.0
3251,0.00939612,0.33303298,0.0058831,0.9593,1,993.6434,14.06,8335.0
1494,0.00077093,0.02256842,0.00267264,1.1614,1,1691.9539,236.95,4921.0
1107,0.0032629,0.31266505,0.00973052,0.3548,0,973.0,0.0,1334.0
