sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
3468,0.00164123,0.76361472,0.00829037,0.0731,0,829.0,0.0,872.0
2346,0.0050198,0.89412168,0.00310831,0.1909,0,311.0,0.0,338.0
2731,0.01318991,0.56600767,0.0071807,0.7923,0,718.0,0.0,5878.0
1471,0.00169443,0.50845776,0.0005651,0.1133,0,57.0,0.0,58.0
2559,0.01345663,0.63203229,0.00738759,0.7239,0,739.0,0.0,4366.0
3841,0.00031811,0.6748078,0.00698353,0.016,0,698.0,0.0,702.0
1984,0.01420532,0.65738264,0.00632973,0.7347,0,633.0,0.0,4948.0
2283,0.01509257,0.80978976,0.00535887,0.6337,0,536.0,0.0,1836.0
2675,0.01017089,0.3663985,0.00612342,0.9438,1,715.2218,6.02,7505.0
169,0.01626306,0.74515605,0.00815488,0.7421,0,815.0,0.0,3789.0
1975,0.0172289,0.44337512,0.00776506,1.3212,0,2925.6919,9.04,19552.0
1833,0.00042815,0.9118231,0.00932469,0.016,0,932.0,0.0,941.0
3543,0.01243038,0.5315015,0.00749178,0.7952,0,749.0,0.0,5060.0
102,0.0123791,0.81940454,0.00097347,0.5137,0,97.0,0.0,150.0
2994,0.00792516,0.36954997,0.0039335,0.7291,0,393.0,0.0,2826.0
759,0.01116783,0.37957941,0.0086593,1.0003,1,1413.481,11.04,11356.0
3371,0.00319483,0.30598491,0.00068296,0.355,0,68.0,0.0,103.0
2692,0.00765309,0.7304136,0.00708565,0.3562,0,709.0,0.0,1053.0
336,0.01188885,0.35165296,0.00531074,1.1495,1,1622.2679,19.08,14436.0
2004,0.00277471,0.23922698,0.00401758,0.3944,0,402.0,0.0,728.0
3919,0.00578911,0.60887844,0.00803599,0.3233,0,804.0,0.0,1014.0
2436,0.01852102,0.88988837,0.00438808,0.7076,0,439.0,0.0,1605.0
651,0.01286787,0.84032668,0.00240255,0.5206,0,240.0,0.0,416.0
3767,0.0073443,0.2182497,0.00526689,1.1441,1,1780.9402,20.08,14494.0
3180,0.00858625,0.48775673,0.00259171,0.5985,0,259.0,0.0,645.0
2135,0.0036452,0.1837837,0.00544313,0.6744,0,544.0,0.0,2798.0
3420,0.00767595,0.70051385,0.00233082,0.3726,0,233.0,0.0,334.0
810,0.0135823,0.51877124,0.00498048,0.8902,1,659.2976,13.05,6382.0
260,0.01042172,0.42288112,0.00050921,0.8379,1,361.4236,35.14,4600.0
691,0.00813836,0.47100353,0.00039201,0.5875,0,39.0,0.0,69.0
2309,0.00267257,0.49167967,0.00061991,0.1848,0,62.0,0.0,68.0
3369,0.01573849,0.263194,0.00337378,2.0331,0,7541.4453,14.06,40209.0
1493,0.00455979,0.17431477,0.00688199,0.8894,1,952.74,36.14,8147.0
1450,0.01714828,0.67464103,0.0067646,0.8642,1,676.0,0.0,7631.0
3174,0.00385818,0.4949628,0.00682153,0.265,0,682.0,0.0,878.0
3839,0.01094775,0.71589169,0.00465837,0.5199,0,466.0,0.0,1300.0
3489,0.00999571,0.22924242,0.00056735,1.4825,0,3358.5673,28.11,22861.0
2774,0.0139463,0.69036181,0.00261073,0.6868,0,261.0,0.0,596.0
2368,0.01233954,0.98029347,0.00444929,0.428,0,445.0,0.0,699.0
2190,0.01177116,0.88546028,0.00797373,0.452,0,797.0,0.0,1591.0
2037,0.01106192,0.79675946,0.00303685,0.472,0,304.0,0.0,478.0
598,0.01375367,0.74810853,0.00823655,0.6251,0,824.0,0.0,2316.0
2235,0.00930113,0.37572768,0.00336566,0.8417,1,379.8919,19.08,5964.0
3754,0.019504,0.68315539,0.00349172,0.9707,1,430.7618,15.06,6579.0
3145,0.01920494,0.60715051,0.00507632,1.0755,1,1222.1604,8.03,10994.0
3944,0.01030726,0.70370662,0.00199097,0.498,0,199.0,0.0,372.0
806,0.01574694,0.61911237,0.00689074,0.8648,1,826.7705,7.03,7837.0
1780,0.01659681,0.44719709,0.00861533,1.2618,0,2514.2717,8.03,18303.0
3363,0.00491599,0.3261977,0.0077454,0.5124,0,775.0,0.0,2155.0
2293,0.01465396,0.57286225,0.00064877,0.8697,1,358.1124,22.09,4692.0
2699,0.00795619,0.34247342,0.00708425,0.7899,0,708.0,0.0,6072.0
3891,0.00670191,0.91207201,0.00117084,0.2498,0,117.0,0.0,157.0
1839,0.01809013,0.23117385,0.00247083,2.6606,0,12792.4554,13.05,55104.0
