sim_id,replicate_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
138,0,0.003780772692966657,0.569517312264135,0.004027608315695878,0.385,403.0,0.0,492.0,0.00492,1
139,0,0.008033973483475265,0.6562125481788122,0.007008816222611182,0.7101,701.0,0.0,1069.0,0.01069,1
140,0,0.007920614586555217,0.7174912445462196,0.0038463408793587527,0.6403,385.0,0.0,569.0,0.00569,1
141,0,0.017581551514147104,0.8640131347330242,0.009775326978555961,1.1802,978.0,0.0,3710.0,0.0371,1
142,0,0.011250205114466703,0.6074647941455398,0.00491591893285267,1.0742,492.0,0.0,1888.0,0.01888,1
143,0,0.011961748369778091,0.245452378538476,0.0076909773793962756,2.8265,4816.833939136645,15.060240963855422,29437.0,0.29437,0
144,0,0.016063584730833764,0.3405031140113104,0.003486847177036683,2.7362,4028.5147104117086,14.056224899598394,26635.0,0.26635,0
145,0,0.010587089749314675,0.14951188783602146,0.0035540892357567313,4.107,11023.81913330625,22.08835341365462,50414.0,0.50414,0
146,0,0.008395731936581071,0.7418867278485713,0.005707481907420109,0.6564,571.0,0.0,791.0,0.00791,1
147,0,0.014522883844339323,0.7671999218123429,0.0038023689701454392,1.0979,380.0,0.0,942.0,0.00942,1
148,0,0.012128208401909254,0.5501496184627556,0.0032196775606047716,1.2786,519.1942919227715,8.032128514056225,4728.0,0.04728,1
149,0,0.0061129538075627,0.8135780173109631,0.006096370507512094,0.4358,610.0,0.0,710.0,0.0071,1
150,0,0.0068914912372904395,0.07425444297672258,0.0050507535327338005,5.3829,17015.74880557526,35.140562248995984,63756.0,0.63756,0
151,0,0.004590346148470631,0.905653252171447,0.0028745994744072993,0.294,287.0,0.0,339.0,0.00339,1
152,0,0.016988770921487206,0.6937381388960634,0.0029521127119199165,1.4203,350.3732329690915,12.048192771084338,5315.0,0.05315,1
153,0,0.005596055179581085,0.8442406478605163,0.005830361708252236,0.3845,583.0,0.0,680.0,0.0068,1
154,0,0.018791464243434135,0.877119934295294,0.007705539670520648,1.2426,771.0,0.0,4525.0,0.04525,1
155,0,0.01619173981296697,0.2370305556707045,0.009182274000789704,3.962,10293.4789157873,12.048192771084338,47997.0,0.47997,0
156,0,0.014741489198339688,0.7370741422292588,0.009637415987150129,1.16,964.0,0.0,4375.0,0.04375,1
157,0,0.0036598193165242607,0.5948988945832254,0.005153307402562542,0.3568,515.0,0.0,600.0,0.006,1
158,0,0.010013449947195933,0.15540776027958994,0.0024976120415418665,3.7371,8913.81693490616,25.100401606425706,44285.0,0.44285,0
159,0,0.00033473874624849253,0.9198741198970745,0.005045956929360182,0.0211,505.0,0.0,507.0,0.00507,0
160,0,0.016111494224330884,0.42224595218747046,0.004843266059881203,2.2131,2317.145988261383,9.036144578313253,17418.0,0.17418,0
161,0,0.017645780582362172,0.8726149558908253,0.002514054502876357,1.1729,251.0,0.0,2057.0,0.02057,1
162,0,0.0012063885860770051,0.3634220878003294,0.007221646762181727,0.1925,722.0,0.0,775.0,0.00775,1
163,0,0.011598370531188784,0.44511240055313195,0.0051999832192935695,1.5113,929.7009430426763,7.028112449799197,7455.0,0.07455,1
164,0,0.011568176909827846,0.5221313852427832,0.007305404198130248,1.285,731.0,0.0,4565.0,0.04565,1
165,0,0.012596886015729324,0.29194249561015084,0.006816901084225342,2.5026,3713.366674637654,13.052208835341366,23931.0,0.23931,0
166,0,0.009008433237178638,0.4810770612586218,0.0025492986028828888,1.0861,255.0,0.0,963.0,0.00963,1
167,0,0.007236606565228476,0.7362299797938839,0.0042411877003781726,0.5701,424.0,0.0,627.0,0.00627,1
168,0,0.019637957784240507,0.29936044718076893,0.009404255583138819,3.8048,9883.137644642706,10.040160642570282,46074.0,0.46074,0
169,0,0.016263061682432176,0.7451560532414407,0.008154875292778765,1.2659,815.0,0.0,3789.0,0.03789,1
170,0,0.01013241575787447,0.6490458841510205,0.00601717991008163,0.9055,602.0,0.0,1402.0,0.01402,1
171,0,0.010611167292758088,0.626371517304533,0.0014880023721155849,0.9826,149.0,0.0,608.0,0.00608,1
172,0,0.01277437448628726,0.9191975923215213,0.004527170904597984,0.806,453.0,0.0,641.0,0.00641,1
173,0,0.009914947383935667,0.4765801762375688,0.00948053647713531,1.2067,948.0,0.0,4218.0,0.04218,1
174,0,0.006768835115089247,0.6236550763338046,0.006284499368693284,0.6295,628.0,0.0,970.0,0.0097,1
175,0,0.0021337533625263774,0.8243574523711481,0.007152072581105023,0.1501,715.0,0.0,749.0,0.00749,1
176,0,0.014932887194768893,0.9954175171665428,0.0018704731032423505,0.8701,187.0,0.0,423.0,0.00423,1
177,0,0.0032986292910803755,0.2216259416624852,0.008796530394053644,0.8633,880.0,0.0,2020.0,0.0202,1
178,0,0.005591693169598324,0.9062678191650808,0.004830398300047884,0.3579,483.0,0.0,603.0,0.00603,1
179,0,0.019619145466478152,0.6458226684239811,0.000723557427943715,1.762,812.1102294757993,14.056224899598394,9251.0,0.09251,1
180,0,0.0028597002191331814,0.22838782574703037,0.0075031001076067555,0.7262,750.0,0.0,1176.0,0.01176,1
181,0,0.0153982914902951,0.9142237182749117,0.009957061838874556,0.9769,996.0,0.0,1934.0,0.01934,1
